Ticker,銘柄名
213A,上場インデックスファンド日経
2146,ＵＴグループ
2148,アイティメディア
2150,ケアネット
2152,幼児活動研究会
2153,Ｅ・Ｊ　ＨＬＤＧ
2154,オープンアップグループ
2156,セーラー広告
2157,コシダカＨＬＤＧ
2158,ＦＲＯＮＴＥＯ
215A,タイミー
2160,ジーエヌアイグループ
2162,ｎｍｓ　ＨＬＤＧ
2163,アルトナー
2164,地域新聞社
2168,パソナグループ
2169,ＣＤＳ
2170,リンクアンドモチベーション
2172,インサイト
2173,博展
2175,エス・エム・エス
2179,成学社
2180,サニーサイドアップグループ
2181,パーソルＨＬＤＧ
2183,リニカル
2185,シイエム・シイ
2186,ソーバル
218A,Ｌｉｂｅｒａｗａｒｅ
2193,クックパッド
2195,アミタＨＬＤＧ
2196,エスクリ
2198,アイ・ケイ・ケイＨＬＤＧ
219A,Ｈｅａｒｔｓｅｅｄ
2201,森永製菓
2204,中村屋
2206,江崎グリコ
2207,名糖産業
2208,ブルボン
2209,井村屋グループ
220A,Ｆａｂｅｒ　Ｃｏｍｐａｎｙ
2211,不二家
2212,山崎製パン
2215,第一屋製パン
2216,カンロ
2217,モロゾフ
2218,日糧製パン
221A,ＭＸＳ日経半導体株上場投信
2220,亀田製菓
2221,岩塚製菓
2222,寿スピリッツ
2224,コモ
2226,湖池屋
2229,カルビー
2235,上場インデックスファンド米国無
2236,ＧＸ　Ｓ＆Ｐ５００　配当貴族
2237,ダイワ　Ｓ＆Ｐ５００　２ＬＥＶ
2238,ダイワ　Ｓ＆Ｐ５００　インバ
2239,上場　Ｓ＆Ｐ５００　先物レバ２
223A,ＧＸ　ＡＩ＆ビッグデータ
2240,上場　Ｓ＆Ｐ５００　先物インバ
2241,ＭＡＸＩＳ　ＮＹダウ上場投信
2242,ＭＸＳ　ＮＹダウ為替ヘッジあり
2243,グローバルＸ　半導体
2244,ＧＸ　ＵＳテック・トップ２０
2245,ＮＦ　ドイツ国債７−１０年あり
2246,ＮＦ　フランス国債７−１０年有
2247,ダイワ　Ｓ＆Ｐ５００無
2248,ダイワ　Ｓ＆Ｐ５００有
2249,ダイワ　Ｓ＆Ｐ５００　ダブル
224A,ＧＸ　ウラニウムビジネス
2250,ｉＳ　ＭＳＣＩ　ジャパン気候
2251,ＮＯＭ　ＪＰＸ国債先物　ダブル
2252,グローバルＸ　米国中小型
2253,グローバルＸ　ＳＵＰＥＲＤＩＶ
2254,グローバルＸ　ＣＮ　ＥＶ＆ＢＡ
2255,ｉＳ　米国債２０年超　ＥＴＦ
2256,ｉＳ　米国総合債券　ＥＴＦ
2257,ｉＳ　米ドル建て投資適格社債
2258,ｉＳ　米ドル建てハイイールド
2259,ｉＳ　フランス国債　７−１０有
2264,森永乳業
2266,六甲バター
2267,ヤクルト本社
2268,Ｂ―Ｒ　サーティワン　アイス
2269,明治ＨＬＤＧ
2270,雪印メグミルク
2281,プリマハム
2282,日本ハム
2286,林兼産業
2288,丸大食品
228A,オプロ
2291,福留ハム
2292,Ｓ　ＦＯＯＤＳ
2293,滝沢ハム
2294,柿安本店
2296,伊藤ハム米久ＨＬＤＧ
2300,きょくとう
2301,学情
2303,ドーン
2304,ＣＳＳ　ＨＬＤＧ
2305,スタジオアリス
2307,クロスキャット
2311,エプコ
2315,ＣＡＩＣＡ　ＤＩＧＩＴＡＬ
2317,システナ
231A,Ｃｒｏｓｓ　Ｅ　ＨＬＤＧ
2321,ソフトフロントＨＬＤＧ
2323,ｆｏｎｆｕｎ
2325,ＮＪＳ
2326,デジタルアーツ
2327,日鉄ソリューションズ
2329,東北新社
2330,フォーサイド
2331,ＡＬＳＯＫ
2332,クエスト
2334,イオレ
2335,キューブシステム
2337,いちご
2338,クオンタムソリューションズ
233A,ｉＦ　インド　Ｎｉｆｔｙ５０
2340,極楽湯ＨＬＤＧ
2341,アルバイトタイムス
2342,トランスジェニックグループ
2344,平安レイサービス
2345,クシム
2349,エヌアイデイ
234A,ＧＸ　ＭＳＣＩキャッシュフロ
2351,ＡＳＪ
2353,日本駐車場開発
2354,ＹＥ　ＤＩＧＩＴＡＬ
2359,コア
235A,ＧＸ　高配当　３０−日本株式
236A,ｉＳ　日本国債７−１０年
2370,メディネット
2371,カカクコム
2373,ケア２１
2374,セントケアＨＬＤＧ
2375,ギグワークス
2376,サイネックス
2378,ルネサンス
2379,ディップ
237A,ｉＳ　米国債２５年超
2384,ＳＢＳ　ＨＬＤＧ
2385,総医研ＨＬＤＧ
2388,ウェッジＨＬＤＧ
2389,デジタルＨＬＤＧ
238A,ｉＳ　米国債２５年超　ベッジ有
2391,プラネット
2393,日本ケアサプライ
2395,新日本科学
2404,鉄人化ＨＬＤＧ
2408,ＫＧ情報
2410,キャリアデザインセンター
2411,ゲンダイエージェンシー
2413,エムスリー
2415,ヒューマンＨＬＤＧ
2418,ツカダ・グローバルＨＬＤＧ
241A,ＲＯＸＸ
2424,ブラス
2425,ケアサービス
2428,ウェルネット
2429,ワールドＨＬＤＧ
242A,リプライオリティ
2432,ディー・エヌ・エー
2433,博報堂ＤＹ　ＨＬＤＧ
2435,シダー
2436,共同ピーアール
2437,Ｓｈｉｎｗａ　Ｗｉｓｅ　ＨＬＤ
2438,アスカネット
2440,ぐるなび
2445,タカミヤ
2449,プラップジャパン
244A,グロースエクスパートナーズ
2454,オールアバウト
2459,アウンコンサルティング
245A,ＩＮＧＳ
2461,ファンコミュニケーションズ
2462,ライク
2464,Ａｏｂａ−ＢＢＴ
2467,バルクＨＬＤＧ
2469,ヒビノ
246A,アスア
2471,エスプール
2475,ＷＤＢ　ＨＬＤＧ
2477,手間いらず
2479,ジェイテック
247A,Ａｉロボティクス
2480,システム・ロケーション
2481,タウンニュース社
2483,翻訳センター
2484,出前館
2485,ティア
2488,ＪＴＰ
2489,アドウェイズ
248A,キッズスター
2491,バリューコマース
2492,インフォマート
2493,イーサポートリンク
2497,ユナイテッド
2498,オリエンタルコンサルタンツＨＤ
2499,日本和装ＨＬＤＧ
2501,サッポロＨＬＤＧ
2502,アサヒグループＨＬＤＧ
2503,キリンＨＬＤＧ
250A,シマダヤ
2510,ＮＦ国内債券ＢＰＩ総合連動
2511,ＮＦ外国債券ヘッジなし
2512,ＮＦ外国債券ヘッジあり
2513,ＮＦ外国株式ヘッジなし
2514,ＮＦ外国株式ヘッジあり
2515,ＮＦ外国ＲＥＩＴヘッジなし
2516,東証グロース２５０ＥＴＦ
2517,ＭＸＳ　Ｊリート・コア
2518,ＮＦ日本株女性活躍連動型
2519,ＮＦ新興国債券ヘッジなし
2520,ＮＦ新興国株式ヘッジなし
2521,上場米国株式為替ヘッジあり
2522,ｉＳロボット
2523,ＭＸＳトピックス除く金融
2524,ＮＺＡＭ　ＴＯＰＩＸ
2525,ＮＺＡＭ日経２２５
2526,ＮＺＡＭ　ＪＰＸ日経４００
2527,ＮＺＡＭ東証ＲＥＩＴ　Ｃｏｒｅ
2528,ｉＦ東証ＲＥＩＴ　Ｃｏｒｅ
2529,ＮＦ野村株主還元７０連動型
2530,ＭＸＳ中国上海１８０Ａ株
2531,宝ＨＬＤＧ
2533,オエノンＨＬＤＧ
253A,ＥＴＳグループ
2540,養命酒製造
254A,ＡＩ　フュージョンキャピタルグ
2551,マルサンアイ
2552,上場Ｊリート隔月分配型ミニ
2553,Ｏｎｅ南方中国Ａ株ＣＳＩ５００
2554,ＮＦ米国社債１０年ヘッジ
2555,東証ＲＥＩＴ　ＥＴＦ
2556,Ｏｎｅ東証ＲＥＩＴ
2557,ＳＭＤＡＭトピックス上場投信
2558,ＭＡＸＩＳ米株ＳＰ５００
2559,ＭＡＸＩＳ全世界株式
255A,ジーエルテクノＨＬＤＧ
2560,ＭＡＸＩＳカーボン日本株
2561,ｉＳコア日本国債ＥＴＦ
2562,上場米株ダウ平均為替ヘッジあり
2563,ｉＳＳＰ５百米株ヘジ
2564,ＧＸスーパーディビ
2565,ＧＸロジＪリート
2566,上場日経 ＥＳＧリート
2567,ＮＺＡＭ　カーボン
2568,上場ＮＳＱ１００ヘ無
2569,上場ＮＳＱ１００ヘ有
256A,飛島ＨＬＤＧ
2573,北海道コカ・コーラボトリング
2579,コカ・コーラボトラーズＪＰＨＤ
257A,ＳＭＴ日本株厳選投資アクティブ
2585,ライフドリンク　カンパニー
2586,フルッタフルッタ
2587,サントリー食品インターナショナ
2588,プレミアムウォーターＨＬＤＧ
258A,ＳＭＴ国内リート厳選アクティブ
2590,ダイドーグループＨＬＤＧ
2593,伊藤園
2594,キーコーヒー
2597,ユニカフェ
259A,ケイ・ウノ
2602,日清オイリオグループ
2607,不二製油
260A,オルツ
2612,かどや製油
2613,Ｊ―オイルミルズ
261A,日水コン
2620,ｉＳ米国債 １−３ 年
2621,ｉＳ米国債 ２０年超ヘッジ
2622,ｉＳ米ドル建て新興国債ヘッジ
2623,ｉＳユーロ建て投資社債 ヘッジ
2624,ｉＦ日経２２５（年４回決算型）
2625,ｉＦＴＯＰＩＸ（年４回決算型）
2626,ＧＸデジタルイノベーション
2627,ＧＸｅコマース
2628,ｉＦ中国科創板５０
2629,ｉＦ中国ＧＢＡ１００
262A,インターメスティック
2630,ＭＡＸＩＳ米株Ｓ＆Ｐ５００
2631,ＭＡＸＩＳナスダック１００
2632,ＭＡＸＩＳナスダック１００ヘ
2633,ＮＦ　Ｓ＆Ｐ５００ ヘッジなし
2634,ＮＦ　Ｓ＆Ｐ５００ ヘッジあり
2635,ＮＦ　Ｓ＆Ｐ５００スコアリング
2636,ＧＸ ガバナンス・クオリティ
2637,ＧＸ　クリーンテック
2638,ＧＸ ロボティクス＆ＡＩ
2639,ＧＸ バイオ＆メドテック
2640,ＧＸ ゲーム＆アニメ
2641,ＧＸグローバルリーダーズ
2642,ＳＭＴカーボンエフィシェント
2643,ＮＦＭＳＣＩジャパンセレクト
2644,ＧＸ　半導体関連
2645,ＧＸ　レジャー＆エンターテイン
2646,ＧＸ　メタルビジネス
2647,ＮＦ米国債７―１０年ヘッジなし
2648,ＮＦ米国債７―１０年ヘッジあり
2649,ｉＳ米国政府系機関ジニ　ヘッジ
264A,Ｓｃｈｏｏ
2652,まんだらけ
2653,イオン九州
2654,アスモ
2656,ベクターＨＬＤＧ
2659,サンエー
265A,Ｈｍｃｏｍｍ
2664,カワチ薬品
2666,オートウェーブ
2667,イメージワン
2668,タビオ
2669,カネ美食品
2670,エービーシー・マート
2673,夢みつけ隊
2674,ハードオフコーポレーション
2676,高千穂交易
2678,アスクル
2681,ゲオＨＬＤＧ
2683,魚喜
2685,アダストリア
2686,ジーフット
2687,シー・ヴイ・エス・ベイエリア
2689,オルバヘルスケアＨＬＤＧ
268A,リガク・ＨＬＤＧ
2692,伊藤忠食品
2693,ＹＫＴ
2694,焼肉坂井ＨＬＤＧ
2695,くら寿司
2698,キャンドゥ
269A,Ｓａｐｅｅｔ
2700,木徳神糧
2702,日本マクドナルドＨＬＤＧ
2705,大戸屋ＨＬＤＧ
2708,久世
2721,ジェイＨＬＤＧ
2722,ＩＫＨＬＤＧ
2726,パルグループＨＬＤＧ
272A,グリーンクロスＨＬＤＧ
2730,エディオン
2733,あらた
2734,サーラコーポレーション
2735,ワッツ
2736,フェスタリアＨＬＤＧ
2737,トーメンデバイス
273A,ＳＢＩサウジアラビア株式上場投
2742,ハローズ
2743,ピクセルカンパニーズ
2747,北雄ラッキー
2749,ＪＰ　ＨＬＤＧ
274A,ガーデン
2750,石光商事
2751,テンポスＨＬＤＧ
2752,フジオフードグループ本社
